TC	WORD	EXP_COUNT	ACT_COUNT	MATCH
TC1	---	---	---	---
TC1	achievement	1	1	True
TC1	adequate	1	1	True
TC1	adventures	1	1	True
TC1	anal	1	1	True
TC1	andrews	1	1	True
TC1	assessed	1	1	True
TC1	bedding	1	1	True
TC1	blues	1	1	True
TC1	buying	1	1	True
TC1	cartridge	1	1	True
TC1	cgi	1	1	True
TC1	championship	1	1	True
TC1	clear	1	1	True
TC1	club	1	1	True
TC1	coastal	1	1	True
TC1	collect	1	1	True
TC1	comm	1	1	True
TC1	confirm	1	1	True
TC1	conservative	2	2	True
TC1	consistent	1	1	True
TC1	contamination	1	1	True
TC1	could	1	1	True
TC1	cove	1	1	True
TC1	craps	1	1	True
TC1	customized	1	1	True
TC1	danish	1	1	True
TC1	dial	1	1	True
TC1	drum	1	1	True
TC1	ebony	1	1	True
TC1	enhanced	1	1	True
TC1	exhaust	1	1	True
TC1	explorer	1	1	True
TC1	father	1	1	True
TC1	firms	1	1	True
TC1	fonts	1	1	True
TC1	glenn	1	1	True
TC1	gothic	1	1	True
TC1	guestbook	1	1	True
TC1	hiking	1	1	True
TC1	hyundai	1	1	True
TC1	influences	1	1	True
TC1	instrumentation	1	1	True
TC1	introduces	1	1	True
TC1	journey	1	1	True
TC1	kinda	1	1	True
TC1	kodak	1	1	True
TC1	leisure	1	1	True
TC1	liable	1	1	True
TC1	lies	1	1	True
TC1	locks	1	1	True
TC1	louis	1	1	True
TC1	malpractice	1	1	True
TC1	manufacturer	1	1	True
TC1	marathon	1	1	True
TC1	math	1	1	True
TC1	matters	1	1	True
TC1	meals	1	1	True
TC1	media	1	1	True
TC1	mon	1	1	True
TC1	mortality	1	1	True
TC1	mother	1	1	True
TC1	nba	1	1	True
TC1	newer	1	1	True
TC1	nightmare	1	1	True
TC1	nor	1	1	True
TC1	oakland	1	1	True
TC1	p	1	1	True
TC1	password	1	1	True
TC1	pct	1	1	True
TC1	pens	1	1	True
